trial_id,status,duration_s,cfg_chain_length,cfg_difficulty,cfg_keep_fraction,cfg_strategy,metric_answer_correct,metric_quality_cosine,metric_quality_mse,metric_tokens_kept,metric_tokens_removed,metric_tokens_removed_pct
reasoning_token_waste_t0001,completed,0.0006,50,easy,0.1,keep_first,1.0,0.9621597528457642,0.00029562710551545024,5,45,90.0
reasoning_token_waste_t0002,completed,0.0002,50,easy,0.2,keep_first,1.0,0.9896100759506226,8.117092511383817e-05,10,40,80.0
reasoning_token_waste_t0003,completed,0.0001,50,easy,0.3,keep_first,1.0,0.9999998807907104,0.0,15,35,70.0
reasoning_token_waste_t0004,completed,0.0001,50,easy,0.4,keep_first,1.0,0.995807409286499,3.275501512689516e-05,20,30,60.0
reasoning_token_waste_t0005,completed,0.0001,50,easy,0.5,keep_first,1.0,0.9923602938652039,5.968555706203915e-05,25,25,50.0
reasoning_token_waste_t0006,completed,0.0001,50,easy,0.6,keep_first,1.0,0.9891622066497803,8.467142470180988e-05,30,20,40.0
reasoning_token_waste_t0007,completed,0.0002,50,easy,0.7,keep_first,1.0,0.9870767593383789,0.00010096262849401683,35,15,30.000000000000004
reasoning_token_waste_t0008,completed,0.0001,50,easy,0.8,keep_first,1.0,0.983970046043396,0.00012523469922598451,40,10,19.999999999999996
reasoning_token_waste_t0009,completed,0.0001,50,easy,0.9,keep_first,1.0,0.9829691052436829,0.00013305386528372765,45,5,9.999999999999998
reasoning_token_waste_t0010,completed,0.0001,50,easy,1.0,keep_first,1.0,0.981325626373291,0.00014589339843951166,50,0,0.0
reasoning_token_waste_t0011,completed,0.0001,50,easy,0.1,keep_last,0.0,0.6685193777084351,0.002589692361652851,5,45,90.0
reasoning_token_waste_t0012,completed,0.0001,50,easy,0.2,keep_last,0.0,0.5693514943122864,0.0033644409850239754,10,40,80.0
reasoning_token_waste_t0013,completed,0.0001,50,easy,0.3,keep_last,0.0,0.5567722320556641,0.0034627169370651245,15,35,70.0
reasoning_token_waste_t0014,completed,0.0002,50,easy,0.4,keep_last,0.0,0.7120977640151978,0.002249235985800624,20,30,60.0
reasoning_token_waste_t0015,completed,0.0001,50,easy,0.5,keep_last,0.0,0.6614028215408325,0.002645289758220315,25,25,50.0
reasoning_token_waste_t0016,completed,0.0001,50,easy,0.6,keep_last,0.0,0.6524093151092529,0.0027155522257089615,30,20,40.0
reasoning_token_waste_t0017,completed,0.0001,50,easy,0.7,keep_last,0.0,0.7417480945587158,0.002017592778429389,35,15,30.000000000000004
reasoning_token_waste_t0018,completed,0.0001,50,easy,0.8,keep_last,0.0,0.7454311847686768,0.0019888184033334255,40,10,19.999999999999996
reasoning_token_waste_t0019,completed,0.0001,50,easy,0.9,keep_last,0.0,0.7399151921272278,0.0020319123286753893,45,5,9.999999999999998
